year,month,seq.from.1990.days,doy,wind.sp,wind.dir,eddy.t,eddy.q,o3.mlb,no.y,s.no.y,co,s.co,f.co2,f.mom,f.heat,f.h2o,f.o3,f.no.y,r.net,par.12.7,par.29,rh.27.9m,rh.22.6m,rh.15.4m,rh.7.6m,rh.2.5m,ta.27.9m,ta.22.6m,ta.15.4m,ta.7.6m,ta.2.5m,ts.srfm,ts.50m,ts.20m,co2,co2.stg,p.amb,ts.srf.adj,par.tot.ue.m2.s,par.dfs.ue.m2.s
2011,9,7932,262,1.7,18,9.7,9.4,0.0,0.0,0.0,0.0,0.0,2,-190.8,-27.3,-0.09574,0.0,0.0,-23,0.0,14.31105349,83.6,90.1,87,0.0,92.7,6.5,0.0,0.0,0.0,0.0,11.3,0.0,0.0,388.3,0.0,99704,0.0,0.0,0.0
2011,9,7932.0417,262.0417,1.7,28,9.1,8.8,0.0,0.0,0.0,0.0,0.0,1.8,-352.1,-21.3,-0.04153,0.0,0.0,-21,0.0,15.9824174,82.4,88.1,83.7,0.0,93.3,6.3,0.0,0.0,0.0,0.0,10.9,0.0,0.0,390.25,0.0,99648,0.0,0.0,0.0
2011,9,7932.0833,262.0833,1.4,13,8.8,8.2,0.0,0.0,0.0,0.0,0.0,2,-357.2,-23.3,-0.256,0.0,0.0,-18,0.0,0,79.8,85.2,84.4,0.0,92.8,6.3,0.0,0.0,0.0,0.0,10.9,0.0,0.0,387.9,-1.5,99627,0.0,0.0,0.0
2011,9,7932.125,262.125,1.6,28,8.8,8.4,0.0,0.0,0.0,0.0,0.0,1.8,-387.3,-26.6,-0.08385,0.0,0.0,-20,0.0,14.83335471,80.6,86.8,81.9,0.0,92.8,6.2,0.0,0.0,0.0,0.0,11.1,0.0,0.0,389.75,-0.3,99615,0.0,0.0,0.0
2011,9,7932.1667,262.1667,2,31,8.6,8.2,0.0,0.0,0.0,0.0,0.0,1.3,-778.9,-31.8,-0.06281,0.0,0.0,-23,0.0,15.46011618,80.4,83.8,77,0.0,92.3,5.8,0.0,0.0,0.0,0.0,10.8,0.0,0.0,388.8,-2.8,99584,0.0,0.0,0.0
2011,9,7932.2083,262.2083,1.8,31,8.3,8,0.0,0.0,0.0,0.0,0.0,1.5,-497.3,-26.5,-0.04915,0.0,0.0,-15,0.0,42.30639901,79.2,81.8,77.4,0.0,92.4,5.6,0.0,0.0,0.0,0.0,10.6,0.0,0.0,387.975,3.9,99578,0.0,0.0,0.0
2011,9,7932.25,262.25,1.6,38,8.6,8.2,0.0,0.0,0.0,0.0,0.0,-0.9,-796.8,-4.2,0.1777,0.0,0.0,68,0.0,249.4510638,78.3,80,74.6,0.0,92.3,7.7,0.0,0.0,0.0,0.0,10.5,0.0,0.0,389,-1.8,99596,0.0,0.0,0.0
2011,9,7932.2917,262.2917,1.5,66,9.9,9,0.0,0.0,0.0,0.0,0.0,-5.2,-878.4,49.2,0.4116,0.0,0.0,222,0.0,615.3753001,79.5,71,71.4,0.0,87.5,11.1,0.0,0.0,0.0,0.0,10.7,0.0,0.0,387.175,-2.1,99605,0.0,0.0,0.0
2011,9,7932.3333,262.3333,1.4,57,11.7,10.3,0.0,0.0,0.0,0.0,0.0,-11.9,-1834.6,133.3,1.492,0.0,0.0,384,0.0,969.3910686,79.8,69.7,70.9,0.0,81.5,12.5,0.0,0.0,0.0,0.0,10.7,0.0,0.0,386.8,-1.4,99594,0.0,0.0,0.0
2011,9,7932.375,262.375,1.9,54,13.1,9.4,0.0,0.0,0.0,0.0,0.0,-18.2,-1964.3,182.2,2.609,0.0,0.0,517,0.0,1252.16495,67.4,59.2,60.6,0.0,70.9,14.2,0.0,0.0,0.0,0.0,10.3,0.0,0.0,386.7,-3,99563,0.0,0.0,0.0
2011,9,7932.4167,262.4167,1.7,42,14.2,7.8,0.0,0.0,0.0,0.0,0.0,0.0,-2494.7,201.1,0.0,0.0,0.0,596,0.0,1438.104185,51.3,46.1,47.1,0.0,57.9,15.2,0.0,0.0,0.0,0.0,10.4,0.0,0.0,378.6,0.4,99524,0.0,0.0,0.0
2011,9,7932.4583,262.4583,1.9,111,15,7.9,0.0,0.0,0.0,0.0,0.0,0.0,-2869.2,206,0.0,0.0,0.0,628,0.0,1520.418858,47.8,42.4,43.1,0.0,53,16,0.0,0.0,0.0,0.0,10.7,0.0,0.0,374.875,13.3,99428,0.0,0.0,0.0
2011,9,7932.5,262.5,1.5,118,15.6,7.8,0.0,0.0,0.0,0.0,0.0,-14.9,-1483.1,163.6,3.2,0.0,0.0,610,0.0,1485.842517,45.7,39.8,41.4,0.0,49.6,16.8,0.0,0.0,0.0,0.0,10.5,0.0,0.0,377.55,-13.8,99381,0.0,0.0,0.0
2011,9,7932.5417,262.5417,1.5,155,16.3,8.2,0.0,0.0,0.0,0.0,0.0,-19.2,-1929.5,190.7,4.976,0.0,0.0,540,0.0,1339.598175,44.8,39,41.1,0.0,51.4,17.4,0.0,0.0,0.0,0.0,10.4,0.0,0.0,377.6,0.1,99291,0.0,0.0,0.0
2011,9,7932.5833,262.5833,1.5,146,16.7,8.3,0.0,0.0,0.0,0.0,0.0,-16.9,-1930.2,126.1,4.046,0.0,0.0,419,0.0,1092.445237,44.2,38.5,40.6,0.0,56.3,17.6,0.0,0.0,0.0,0.0,11,0.0,0.0,374.7,1.9,99220,0.0,0.0,0.0
2011,9,7932.625,262.625,1.1,182,16.8,8.9,0.0,0.0,0.0,0.0,0.0,-11.6,-932.2,49.5,2.756,0.0,0.0,229,0.0,672.8284345,46.3,40,45.3,0.0,69.4,17.1,0.0,0.0,0.0,0.0,11,0.0,0.0,379.8,-1.4,99166,0.0,0.0,0.0
2011,9,7932.6667,262.6667,1.2,224,16.1,9.8,0.0,0.0,0.0,0.0,0.0,-4.8,-534.8,-6.9,0.8487,0.0,0.0,78,0.0,295.5180316,54.8,50.2,57,0.0,76.4,15.8,0.0,0.0,0.0,0.0,11.3,0.0,0.0,377.225,0.3,99124,0.0,0.0,0.0
2011,9,7932.7083,262.7083,0.7,312,14.8,11.9,0.0,0.0,0.0,0.0,0.0,-0.5,8.4,2.6,0.09723,0.0,0.0,4,0.0,89.00012828,75.3,69.4,77.6,0.0,81.6,11.8,0.0,0.0,0.0,0.0,11.4,0.0,0.0,373.8,3,99095,0.0,0.0,0.0
2011,9,7932.75,262.75,0.6,122,13.2,11.5,0.0,0.0,0.0,0.0,0.0,0.1,-47.4,-5.8,-0.03488,0.0,1.378751228,-15,0.0,0,82.8,78,84.9,0.0,89,11.1,0.0,0.0,0.0,0.0,11.6,0.0,0.0,377.65,3.1,99080,0.0,0.0,0.0
2011,9,7932.7917,262.7917,0.6,140,12.7,11.7,0.0,0.0,0.0,0.0,0.0,0.2,-61.9,-7.4,0.00503,0.0,1.378751228,-13,0.0,14.62443422,85.7,83,86.8,0.0,91.3,11.2,0.0,0.0,0.0,0.0,11.4,0.0,0.0,384.525,-1.1,99102,0.0,0.0,0.0
2011,9,7932.8333,262.8333,0.7,127,11.9,11.6,0.0,0.0,0.0,0.0,0.0,0.4,-20.3,-5.5,-0.0025,0.0,1.378751228,-11,0.0,14.93781496,88.6,86.4,88.4,0.0,93.1,10.9,0.0,0.0,0.0,0.0,11.1,0.0,0.0,387.7,1.8,99069,0.0,0.0,0.0
2011,9,7932.875,262.875,1.3,182,11.7,11.5,0.0,0.0,0.0,0.0,0.0,0.8,-382.5,-24.9,-0.04888,0.0,1.378751228,-17,0.0,15.87795716,89.1,90.1,88.8,0.0,94,10.7,0.0,0.0,0.0,0.0,11.6,0.0,0.0,391.6,0.1,99053,0.0,0.0,0.0
2011,9,7932.9167,262.9167,1.5,183,11.6,10.9,0.0,0.0,0.0,0.0,0.0,2.5,-935.5,-41.1,-0.06808,0.0,1.378751228,-9,0.0,15.14673545,85.8,89.8,85.9,0.0,94,10.6,0.0,0.0,0.0,0.0,11,0.0,0.0,392.025,-2.1,99010,0.0,0.0,0.0
2011,9,7932.9583,262.9583,1.8,181,11.9,11.4,0.0,0.0,0.0,0.0,0.0,2.7,-1404.3,-28.4,-0.1665,0.0,0.0,32,0.0,14.41551374,86.3,88.4,82.3,0.0,92.9,11,0.0,0.0,0.0,0.0,11,0.0,0.0,393.1,0.0,98982,0.0,0.0,0.0
